iter	Passed	Remaining
0	0	24
1	0	22
2	0	22
3	0	20
4	1	20
5	1	19
6	1	19
7	1	19
8	1	19
9	2	19
10	2	18
11	2	19
12	2	18
13	2	18
14	3	18
15	3	17
16	3	17
17	3	17
18	4	17
19	4	17
20	4	16
21	4	16
22	4	16
23	5	16
24	5	15
25	5	15
26	5	15
27	5	15
28	6	14
29	6	14
30	6	14
31	6	14
32	6	14
33	7	13
34	7	13
35	7	13
36	7	13
37	8	13
38	8	12
39	8	12
40	8	12
41	8	12
42	9	12
43	9	11
44	9	11
45	9	11
46	10	12
47	11	12
48	11	11
49	11	11
50	11	11
51	12	11
52	12	10
53	12	10
54	12	10
55	13	10
56	13	10
57	13	9
58	13	9
59	14	9
60	14	9
61	14	9
62	14	8
63	15	8
64	15	8
65	15	8
66	16	7
67	16	7
68	16	7
69	16	7
70	17	6
71	17	6
72	17	6
73	18	6
74	18	6
75	18	5
76	18	5
77	18	5
78	19	5
79	19	4
80	19	4
81	20	4
82	20	4
83	20	3
84	20	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	22	1
93	23	1
94	23	1
95	23	0
96	23	0
97	24	0
98	24	0
99	24	0
